Checker,Path,Line,Column,Message,Tool,End_Line,End_Column,tool,checker,rule
cert-err33-c,common.c,1293,7,"the value returned by this function should be used",clang_tidy_oss,1293,7,clang_tidy_oss,cert-err33-c,ERR33-C
cert-err33-c,common.c,1296,7,"the value returned by this function should be used",clang_tidy_oss,1296,7,clang_tidy_oss,cert-err33-c,ERR33-C
cert-err33-c,common.c,1299,7,"the value returned by this function should be used",clang_tidy_oss,1299,7,clang_tidy_oss,cert-err33-c,ERR33-C
cert-err33-c,common.c,1302,7,"the value returned by this function should be used",clang_tidy_oss,1302,7,clang_tidy_oss,cert-err33-c,ERR33-C
cert-err33-c,common.c,1305,7,"the value returned by this function should be used",clang_tidy_oss,1305,7,clang_tidy_oss,cert-err33-c,ERR33-C
cert-err33-c,common.c,1322,7,"the value returned by this function should be used",clang_tidy_oss,1322,7,clang_tidy_oss,cert-err33-c,ERR33-C
cert-err33-c,common.c,1323,7,"the value returned by this function should be used",clang_tidy_oss,1323,7,clang_tidy_oss,cert-err33-c,ERR33-C
cert-err33-c,common.c,1326,7,"the value returned by this function should be used",clang_tidy_oss,1326,7,clang_tidy_oss,cert-err33-c,ERR33-C
cert-err33-c,common.c,1327,7,"the value returned by this function should be used",clang_tidy_oss,1327,7,clang_tidy_oss,cert-err33-c,ERR33-C
bugprone-assignment-in-if-condition,common.c,1331,8,"an assignment within an 'if' condition is bug-prone",clang_tidy_oss,1331,8,clang_tidy_oss,bugprone-assignment-in-if-condition,EXP45-C
clang-analyzer-deadcode.DeadStores,common.c,1331,8,"Although the value stored to 'InF' is used in the enclosing expression, the value is never actually read from 'InF'",clang_tidy_oss,1331,44,clang_tidy_oss,clang-analyzer-deadcode.DeadStores,MSC13-C
"google-readability-braces-around-statements,hicpp-braces-around-statements,readability-braces-around-statements",common.c,1337,79,"statement should be inside braces",clang_tidy_oss,1337,79,clang_tidy_oss,"google-readability-braces-around-statements,hicpp-braces-around-statements,readability-braces-around-statements",EXP19-C
"google-readability-braces-around-statements,hicpp-braces-around-statements,readability-braces-around-statements",common.c,1339,79,"statement should be inside braces",clang_tidy_oss,1339,79,clang_tidy_oss,"google-readability-braces-around-statements,hicpp-braces-around-statements,readability-braces-around-statements",EXP19-C
hicpp-signed-bitwise,common.c,1347,7,"use of a signed integer operand with a binary bitwise operator",clang_tidy_oss,1347,20,clang_tidy_oss,hicpp-signed-bitwise,INT13-C
"hicpp-braces-around-statements,readability-braces-around-statements",common.c,1348,26,"statement should be inside braces",clang_tidy_oss,1348,26,clang_tidy_oss,"hicpp-braces-around-statements,readability-braces-around-statements",EXP19-C
bugprone-easily-swappable-parameters,common.c,1358,19,"2 adjacent parameters of 'check_unicode' of similar type ('FILE *') are easily swapped by mistake",clang_tidy_oss,1358,40,clang_tidy_oss,bugprone-easily-swappable-parameters,NONE
cert-err33-c,common.c,1364,7,"the value returned by this function should be used",clang_tidy_oss,1364,7,clang_tidy_oss,cert-err33-c,ERR33-C
cert-err33-c,common.c,1365,7,"the value returned by this function should be used",clang_tidy_oss,1365,7,clang_tidy_oss,cert-err33-c,ERR33-C
cert-err33-c,common.c,1368,7,"the value returned by this function should be used",clang_tidy_oss,1368,7,clang_tidy_oss,cert-err33-c,ERR33-C
cert-err33-c,common.c,1369,7,"the value returned by this function should be used",clang_tidy_oss,1369,7,clang_tidy_oss,cert-err33-c,ERR33-C
bugprone-assignment-in-if-condition,common.c,1373,8,"an assignment within an 'if' condition is bug-prone",clang_tidy_oss,1373,8,clang_tidy_oss,bugprone-assignment-in-if-condition,EXP45-C
clang-analyzer-deadcode.DeadStores,common.c,1373,8,"Although the value stored to 'InF' is used in the enclosing expression, the value is never actually read from 'InF'",clang_tidy_oss,1373,44,clang_tidy_oss,clang-analyzer-deadcode.DeadStores,MSC13-C
"google-readability-braces-around-statements,hicpp-braces-around-statements,readability-braces-around-statements",common.c,1377,27,"statement should be inside braces",clang_tidy_oss,1377,27,clang_tidy_oss,"google-readability-braces-around-statements,hicpp-braces-around-statements,readability-braces-around-statements",EXP19-C
"google-readability-braces-around-statements,hicpp-braces-around-statements,readability-braces-around-statements",common.c,1390,79,"statement should be inside braces",clang_tidy_oss,1390,79,clang_tidy_oss,"google-readability-braces-around-statements,hicpp-braces-around-statements,readability-braces-around-statements",EXP19-C
"google-readability-braces-around-statements,hicpp-braces-around-statements,readability-braces-around-statements",common.c,1392,79,"statement should be inside braces",clang_tidy_oss,1392,79,clang_tidy_oss,"google-readability-braces-around-statements,hicpp-braces-around-statements,readability-braces-around-statements",EXP19-C
hicpp-signed-bitwise,common.c,1400,7,"use of a signed integer operand with a binary bitwise operator",clang_tidy_oss,1400,20,clang_tidy_oss,hicpp-signed-bitwise,INT13-C
"hicpp-braces-around-statements,readability-braces-around-statements",common.c,1401,26,"statement should be inside braces",clang_tidy_oss,1401,26,clang_tidy_oss,"hicpp-braces-around-statements,readability-braces-around-statements",EXP19-C
concurrency-mt-unsafe,common.c,1408,14,"function is not thread safe",clang_tidy_oss,1408,14,clang_tidy_oss,concurrency-mt-unsafe,CON33-C
"google-readability-braces-around-statements,hicpp-braces-around-statements,readability-braces-around-statements",common.c,1408,52,"statement should be inside braces",clang_tidy_oss,1408,52,clang_tidy_oss,"google-readability-braces-around-statements,hicpp-braces-around-statements,readability-braces-around-statements",EXP19-C
"google-readability-braces-around-statements,hicpp-braces-around-statements,readability-braces-around-statements",common.c,1413,74,"statement should be inside braces",clang_tidy_oss,1413,74,clang_tidy_oss,"google-readability-braces-around-statements,hicpp-braces-around-statements,readability-braces-around-statements",EXP19-C
"hicpp-braces-around-statements,readability-braces-around-statements",common.c,1414,52,"statement should be inside braces",clang_tidy_oss,1414,52,clang_tidy_oss,"hicpp-braces-around-statements,readability-braces-around-statements",EXP19-C
readability-function-cognitive-complexity,common.c,1423,5,"function 'ConvertNewFile' has cognitive complexity of 119 (threshold 25)",clang_tidy_oss,1423,5,clang_tidy_oss,readability-function-cognitive-complexity,NONE
cppcoreguidelines-init-variables,common.c,1433,9,"variable 'TempPath' is not initialized",clang_tidy_oss,1433,9,clang_tidy_oss,cppcoreguidelines-init-variables,EXP33-C
cppcoreguidelines-init-variables,common.c,1434,15,"variable 'errstr' is not initialized",clang_tidy_oss,1434,15,clang_tidy_oss,cppcoreguidelines-init-variables,EXP33-C
cppcoreguidelines-init-variables,common.c,1443,10,"variable 'mask' is not initialized",clang_tidy_oss,1443,10,clang_tidy_oss,cppcoreguidelines-init-variables,EXP33-C
hicpp-signed-bitwise,common.c,1452,5,"use of a signed integer operand with a binary bitwise operator",clang_tidy_oss,1452,18,clang_tidy_oss,hicpp-signed-bitwise,INT13-C
hicpp-signed-bitwise,common.c,1459,5,"use of a signed integer operand with a binary bitwise operator",clang_tidy_oss,1459,18,clang_tidy_oss,hicpp-signed-bitwise,INT13-C
hicpp-signed-bitwise,common.c,1466,5,"use of a signed integer operand with a binary bitwise operator",clang_tidy_oss,1466,18,clang_tidy_oss,hicpp-signed-bitwise,INT13-C
hicpp-signed-bitwise,common.c,1473,5,"use of a signed integer operand with a binary bitwise operator",clang_tidy_oss,1473,18,clang_tidy_oss,hicpp-signed-bitwise,INT13-C
"hicpp-braces-around-statements,readability-braces-around-statements",common.c,1475,24,"statement should be inside braces",clang_tidy_oss,1475,24,clang_tidy_oss,"hicpp-braces-around-statements,readability-braces-around-statements",EXP19-C
concurrency-mt-unsafe,common.c,1488,16,"function is not thread safe",clang_tidy_oss,1488,16,clang_tidy_oss,concurrency-mt-unsafe,CON33-C
cert-err33-c,common.c,1489,7,"the value returned by this function should be used",clang_tidy_oss,1489,7,clang_tidy_oss,cert-err33-c,ERR33-C
cert-err33-c,common.c,1490,7,"the value returned by this function should be used",clang_tidy_oss,1490,7,clang_tidy_oss,cert-err33-c,ERR33-C
concurrency-mt-unsafe,common.c,1500,16,"function is not thread safe",clang_tidy_oss,1500,16,clang_tidy_oss,concurrency-mt-unsafe,CON33-C
cert-err33-c,common.c,1501,7,"the value returned by this function should be used",clang_tidy_oss,1501,7,clang_tidy_oss,cert-err33-c,ERR33-C
cert-err33-c,common.c,1502,7,"the value returned by this function should be used",clang_tidy_oss,1502,7,clang_tidy_oss,cert-err33-c,ERR33-C
bugprone-assignment-in-if-condition,common.c,1508,7,"an assignment within an 'if' condition is bug-prone",clang_tidy_oss,1508,7,clang_tidy_oss,bugprone-assignment-in-if-condition,EXP45-C
concurrency-mt-unsafe,common.c,1512,18,"function is not thread safe",clang_tidy_oss,1512,18,clang_tidy_oss,concurrency-mt-unsafe,CON33-C
cert-err33-c,common.c,1513,9,"the value returned by this function should be used",clang_tidy_oss,1513,9,clang_tidy_oss,cert-err33-c,ERR33-C
cert-err33-c,common.c,1514,9,"the value returned by this function should be used",clang_tidy_oss,1514,9,clang_tidy_oss,cert-err33-c,ERR33-C
"hicpp-braces-around-statements,readability-braces-around-statements",common.c,1517,28,"statement should be inside braces",clang_tidy_oss,1517,28,clang_tidy_oss,"hicpp-braces-around-statements,readability-braces-around-statements",EXP19-C
"google-readability-braces-around-statements,hicpp-braces-around-statements,readability-braces-around-statements",common.c,1530,15,"statement should be inside braces",clang_tidy_oss,1530,15,clang_tidy_oss,"google-readability-braces-around-statements,hicpp-braces-around-statements,readability-braces-around-statements",EXP19-C
"google-readability-braces-around-statements,hicpp-braces-around-statements,readability-braces-around-statements",common.c,1531,61,"statement should be inside braces",clang_tidy_oss,1531,61,clang_tidy_oss,"google-readability-braces-around-statements,hicpp-braces-around-statements,readability-braces-around-statements",EXP19-C
"google-readability-braces-around-statements,hicpp-braces-around-statements,readability-braces-around-statements",common.c,1537,63,"statement should be inside braces",clang_tidy_oss,1537,63,clang_tidy_oss,"google-readability-braces-around-statements,hicpp-braces-around-statements,readability-braces-around-statements",EXP19-C
hicpp-signed-bitwise,common.c,1539,9,"use of a signed integer operand with a binary bitwise operator",clang_tidy_oss,1539,22,clang_tidy_oss,hicpp-signed-bitwise,INT13-C
"hicpp-braces-around-statements,readability-braces-around-statements",common.c,1540,26,"statement should be inside braces",clang_tidy_oss,1540,26,clang_tidy_oss,"hicpp-braces-around-statements,readability-braces-around-statements",EXP19-C
"google-readability-braces-around-statements,hicpp-braces-around-statements,readability-braces-around-statements",common.c,1544,62,"statement should be inside braces",clang_tidy_oss,1544,62,clang_tidy_oss,"google-readability-braces-around-statements,hicpp-braces-around-statements,readability-braces-around-statements",EXP19-C
"google-readability-braces-around-statements,hicpp-braces-around-statements,readability-braces-around-statements",common.c,1553,61,"statement should be inside braces",clang_tidy_oss,1553,61,clang_tidy_oss,"google-readability-braces-around-statements,hicpp-braces-around-statements,readability-braces-around-statements",EXP19-C
"google-readability-braces-around-statements,hicpp-braces-around-statements,readability-braces-around-statements",common.c,1558,67,"statement should be inside braces",clang_tidy_oss,1558,67,clang_tidy_oss,"google-readability-braces-around-statements,hicpp-braces-around-statements,readability-braces-around-statements",EXP19-C
concurrency-mt-unsafe,common.c,1576,19,"function is not thread safe",clang_tidy_oss,1576,19,clang_tidy_oss,concurrency-mt-unsafe,CON33-C
cert-err33-c,common.c,1577,10,"the value returned by this function should be used",clang_tidy_oss,1577,10,clang_tidy_oss,cert-err33-c,ERR33-C
cert-err33-c,common.c,1578,10,"the value returned by this function should be used",clang_tidy_oss,1578,10,clang_tidy_oss,cert-err33-c,ERR33-C
cert-err33-c,common.c,1579,10,"the value returned by this function should be used",clang_tidy_oss,1579,10,clang_tidy_oss,cert-err33-c,ERR33-C
cert-err33-c,common.c,1593,13,"the value returned by this function should be used",clang_tidy_oss,1593,13,clang_tidy_oss,cert-err33-c,ERR33-C
cert-err33-c,common.c,1594,13,"the value returned by this function should be used",clang_tidy_oss,1594,13,clang_tidy_oss,cert-err33-c,ERR33-C
concurrency-mt-unsafe,common.c,1604,25,"function is not thread safe",clang_tidy_oss,1604,25,clang_tidy_oss,concurrency-mt-unsafe,CON33-C
cert-err33-c,common.c,1605,16,"the value returned by this function should be used",clang_tidy_oss,1605,16,clang_tidy_oss,cert-err33-c,ERR33-C
cert-err33-c,common.c,1606,16,"the value returned by this function should be used",clang_tidy_oss,1606,16,clang_tidy_oss,cert-err33-c,ERR33-C
cert-err33-c,common.c,1607,16,"the value returned by this function should be used",clang_tidy_oss,1607,16,clang_tidy_oss,cert-err33-c,ERR33-C
concurrency-mt-unsafe,common.c,1614,22,"function is not thread safe",clang_tidy_oss,1614,22,clang_tidy_oss,concurrency-mt-unsafe,CON33-C
cert-err33-c,common.c,1615,13,"the value returned by this function should be used",clang_tidy_oss,1615,13,clang_tidy_oss,cert-err33-c,ERR33-C
cert-err33-c,common.c,1616,13,"the value returned by this function should be used",clang_tidy_oss,1616,13,clang_tidy_oss,cert-err33-c,ERR33-C
cert-err33-c,common.c,1617,13,"the value returned by this function should be used",clang_tidy_oss,1617,13,clang_tidy_oss,cert-err33-c,ERR33-C
concurrency-mt-unsafe,common.c,1633,18,"function is not thread safe",clang_tidy_oss,1633,18,clang_tidy_oss,concurrency-mt-unsafe,CON33-C
cert-err33-c,common.c,1634,9,"the value returned by this function should be used",clang_tidy_oss,1634,9,clang_tidy_oss,cert-err33-c,ERR33-C
cert-err33-c,common.c,1635,9,"the value returned by this function should be used",clang_tidy_oss,1635,9,clang_tidy_oss,cert-err33-c,ERR33-C
concurrency-mt-unsafe,common.c,1646,18,"function is not thread safe",clang_tidy_oss,1646,18,clang_tidy_oss,concurrency-mt-unsafe,CON33-C
cert-err33-c,common.c,1647,9,"the value returned by this function should be used",clang_tidy_oss,1647,9,clang_tidy_oss,cert-err33-c,ERR33-C
cert-err33-c,common.c,1648,9,"the value returned by this function should be used",clang_tidy_oss,1648,9,clang_tidy_oss,cert-err33-c,ERR33-C
cert-err33-c,common.c,1663,11,"the value returned by this function should be used",clang_tidy_oss,1663,11,clang_tidy_oss,cert-err33-c,ERR33-C
cert-err33-c,common.c,1664,11,"the value returned by this function should be used",clang_tidy_oss,1664,11,clang_tidy_oss,cert-err33-c,ERR33-C
cert-err33-c,common.c,1665,11,"the value returned by this function should be used",clang_tidy_oss,1665,11,clang_tidy_oss,cert-err33-c,ERR33-C
concurrency-mt-unsafe,common.c,1689,18,"function is not thread safe",clang_tidy_oss,1689,18,clang_tidy_oss,concurrency-mt-unsafe,CON33-C
cert-err33-c,common.c,1690,9,"the value returned by this function should be used",clang_tidy_oss,1690,9,clang_tidy_oss,cert-err33-c,ERR33-C
cert-err33-c,common.c,1691,9,"the value returned by this function should be used",clang_tidy_oss,1691,9,clang_tidy_oss,cert-err33-c,ERR33-C
cert-err33-c,common.c,1692,9,"the value returned by this function should be used",clang_tidy_oss,1692,9,clang_tidy_oss,cert-err33-c,ERR33-C
"google-readability-braces-around-statements,hicpp-braces-around-statements,readability-braces-around-statements",common.c,1694,38,"statement should be inside braces",clang_tidy_oss,1694,38,clang_tidy_oss,"google-readability-braces-around-statements,hicpp-braces-around-statements,readability-braces-around-statements",EXP19-C
cert-err33-c,common.c,1695,11,"the value returned by this function should be used",clang_tidy_oss,1695,11,clang_tidy_oss,cert-err33-c,ERR33-C
cert-err33-c,common.c,1697,9,"the value returned by this function should be used",clang_tidy_oss,1697,9,clang_tidy_oss,cert-err33-c,ERR33-C
"google-readability-braces-around-statements,hicpp-braces-around-statements,readability-braces-around-statements",common.c,1702,34,"statement should be inside braces",clang_tidy_oss,1702,34,clang_tidy_oss,"google-readability-braces-around-statements,hicpp-braces-around-statements,readability-braces-around-statements",EXP19-C
"google-readability-braces-around-statements,hicpp-braces-around-statements,readability-braces-around-statements",common.c,1740,65,"statement should be inside braces",clang_tidy_oss,1740,65,clang_tidy_oss,"google-readability-braces-around-statements,hicpp-braces-around-statements,readability-braces-around-statements",EXP19-C
"llvm-else-after-return,readability-else-after-return",common.c,1746,7,"do not use 'else' after 'return'",clang_tidy_oss,1746,12,clang_tidy_oss,"llvm-else-after-return,readability-else-after-return",NONE
hicpp-signed-bitwise,common.c,1756,9,"use of a signed integer operand with a binary bitwise operator",clang_tidy_oss,1756,21,clang_tidy_oss,hicpp-signed-bitwise,INT13-C
cert-err33-c,common.c,1757,7,"the value returned by this function should be used",clang_tidy_oss,1757,7,clang_tidy_oss,cert-err33-c,ERR33-C
cert-err33-c,common.c,1758,7,"the value returned by this function should be used",clang_tidy_oss,1758,7,clang_tidy_oss,cert-err33-c,ERR33-C
hicpp-signed-bitwise,common.c,1759,16,"use of a signed integer operand with a binary bitwise operator",clang_tidy_oss,1759,28,clang_tidy_oss,hicpp-signed-bitwise,INT13-C
cert-err33-c,common.c,1760,7,"the value returned by this function should be used",clang_tidy_oss,1760,7,clang_tidy_oss,cert-err33-c,ERR33-C
cert-err33-c,common.c,1761,7,"the value returned by this function should be used",clang_tidy_oss,1761,7,clang_tidy_oss,cert-err33-c,ERR33-C
hicpp-signed-bitwise,common.c,1763,16,"use of a signed integer operand with a binary bitwise operator",clang_tidy_oss,1763,28,clang_tidy_oss,hicpp-signed-bitwise,INT13-C
cert-err33-c,common.c,1764,7,"the value returned by this function should be used",clang_tidy_oss,1764,7,clang_tidy_oss,cert-err33-c,ERR33-C
cert-err33-c,common.c,1765,7,"the value returned by this function should be used",clang_tidy_oss,1765,7,clang_tidy_oss,cert-err33-c,ERR33-C
hicpp-signed-bitwise,common.c,1766,16,"use of a signed integer operand with a binary bitwise operator",clang_tidy_oss,1766,28,clang_tidy_oss,hicpp-signed-bitwise,INT13-C
cert-err33-c,common.c,1767,7,"the value returned by this function should be used",clang_tidy_oss,1767,7,clang_tidy_oss,cert-err33-c,ERR33-C
cert-err33-c,common.c,1768,7,"the value returned by this function should be used",clang_tidy_oss,1768,7,clang_tidy_oss,cert-err33-c,ERR33-C
"google-readability-braces-around-statements,hicpp-braces-around-statements,readability-braces-around-statements",common.c,1782,38,"statement should be inside braces",clang_tidy_oss,1782,38,clang_tidy_oss,"google-readability-braces-around-statements,hicpp-braces-around-statements,readability-braces-around-statements",EXP19-C
"google-readability-braces-around-statements,hicpp-braces-around-statements,readability-braces-around-statements",common.c,1784,38,"statement should be inside braces",clang_tidy_oss,1784,38,clang_tidy_oss,"google-readability-braces-around-statements,hicpp-braces-around-statements,readability-braces-around-statements",EXP19-C
concurrency-mt-unsafe,common.c,1791,27,"function is not thread safe",clang_tidy_oss,1791,27,clang_tidy_oss,concurrency-mt-unsafe,CON33-C
"google-readability-braces-around-statements,hicpp-braces-around-statements,readability-braces-around-statements",common.c,1803,42,"statement should be inside braces",clang_tidy_oss,1803,42,clang_tidy_oss,"google-readability-braces-around-statements,hicpp-braces-around-statements,readability-braces-around-statements",EXP19-C
"google-readability-braces-around-statements,hicpp-braces-around-statements,readability-braces-around-statements",common.c,1805,42,"statement should be inside braces",clang_tidy_oss,1805,42,clang_tidy_oss,"google-readability-braces-around-statements,hicpp-braces-around-statements,readability-braces-around-statements",EXP19-C
readability-function-cognitive-complexity,common.c,1813,6,"function 'print_messages' has cognitive complexity of 86 (threshold 25)",clang_tidy_oss,1813,6,clang_tidy_oss,readability-function-cognitive-complexity,NONE
bugprone-easily-swappable-parameters,common.c,1813,61,"2 adjacent parameters of 'print_messages' of similar type ('const char *') are easily swapped by mistake",clang_tidy_oss,1813,101,clang_tidy_oss,bugprone-easily-swappable-parameters,NONE
"cppcoreguidelines-avoid-magic-numbers,readability-magic-numbers",common.c,1815,17,"32 is a magic number; consider replacing it with a named constant",clang_tidy_oss,1815,17,clang_tidy_oss,"cppcoreguidelines-avoid-magic-numbers,readability-magic-numbers",DCL06-C
"cppcoreguidelines-avoid-magic-numbers,readability-magic-numbers",common.c,1816,18,"64 is a magic number; consider replacing it with a named constant",clang_tidy_oss,1816,18,clang_tidy_oss,"cppcoreguidelines-avoid-magic-numbers,readability-magic-numbers",DCL06-C
hicpp-signed-bitwise,common.c,1836,7,"use of a signed integer operand with a binary bitwise operator",clang_tidy_oss,1836,19,clang_tidy_oss,hicpp-signed-bitwise,INT13-C
cert-err33-c,common.c,1837,5,"the value returned by this function should be used",clang_tidy_oss,1837,5,clang_tidy_oss,cert-err33-c,ERR33-C
cert-err33-c,common.c,1838,5,"the value returned by this function should be used",clang_tidy_oss,1838,5,clang_tidy_oss,cert-err33-c,ERR33-C
hicpp-signed-bitwise,common.c,1839,14,"use of a signed integer operand with a binary bitwise operator",clang_tidy_oss,1839,26,clang_tidy_oss,hicpp-signed-bitwise,INT13-C
cert-err33-c,common.c,1840,5,"the value returned by this function should be used",clang_tidy_oss,1840,5,clang_tidy_oss,cert-err33-c,ERR33-C
"google-readability-braces-around-statements,hicpp-braces-around-statements,readability-braces-around-statements",common.c,1841,17,"statement should be inside braces",clang_tidy_oss,1841,17,clang_tidy_oss,"google-readability-braces-around-statements,hicpp-braces-around-statements,readability-braces-around-statements",EXP19-C
cert-err33-c,common.c,1842,7,"the value returned by this function should be used",clang_tidy_oss,1842,7,clang_tidy_oss,cert-err33-c,ERR33-C
"google-readability-braces-around-statements,hicpp-braces-around-statements,readability-braces-around-statements",common.c,1843,9,"statement should be inside braces",clang_tidy_oss,1843,9,clang_tidy_oss,"google-readability-braces-around-statements,hicpp-braces-around-statements,readability-braces-around-statements",EXP19-C
cert-err33-c,common.c,1844,7,"the value returned by this function should be used",clang_tidy_oss,1844,7,clang_tidy_oss,cert-err33-c,ERR33-C
hicpp-signed-bitwise,common.c,1845,14,"use of a signed integer operand with a binary bitwise operator",clang_tidy_oss,1845,26,clang_tidy_oss,hicpp-signed-bitwise,INT13-C
cert-err33-c,common.c,1846,5,"the value returned by this function should be used",clang_tidy_oss,1846,5,clang_tidy_oss,cert-err33-c,ERR33-C
cert-err33-c,common.c,1847,5,"the value returned by this function should be used",clang_tidy_oss,1847,5,clang_tidy_oss,cert-err33-c,ERR33-C
hicpp-signed-bitwise,common.c,1848,15,"use of a signed integer operand with a binary bitwise operator",clang_tidy_oss,1848,27,clang_tidy_oss,hicpp-signed-bitwise,INT13-C
cert-err33-c,common.c,1849,5,"the value returned by this function should be used",clang_tidy_oss,1849,5,clang_tidy_oss,cert-err33-c,ERR33-C
cert-err33-c,common.c,1850,5,"the value returned by this function should be used",clang_tidy_oss,1850,5,clang_tidy_oss,cert-err33-c,ERR33-C
hicpp-signed-bitwise,common.c,1851,14,"use of a signed integer operand with a binary bitwise operator",clang_tidy_oss,1851,26,clang_tidy_oss,hicpp-signed-bitwise,INT13-C
cert-err33-c,common.c,1852,5,"the value returned by this function should be used",clang_tidy_oss,1852,5,clang_tidy_oss,cert-err33-c,ERR33-C
cert-err33-c,common.c,1853,5,"the value returned by this function should be used",clang_tidy_oss,1853,5,clang_tidy_oss,cert-err33-c,ERR33-C
hicpp-signed-bitwise,common.c,1854,14,"use of a signed integer operand with a binary bitwise operator",clang_tidy_oss,1854,26,clang_tidy_oss,hicpp-signed-bitwise,INT13-C
cert-err33-c,common.c,1855,5,"the value returned by this function should be used",clang_tidy_oss,1855,5,clang_tidy_oss,cert-err33-c,ERR33-C
cert-err33-c,common.c,1856,5,"the value returned by this function should be used",clang_tidy_oss,1856,5,clang_tidy_oss,cert-err33-c,ERR33-C
hicpp-signed-bitwise,common.c,1858,14,"use of a signed integer operand with a binary bitwise operator",clang_tidy_oss,1858,26,clang_tidy_oss,hicpp-signed-bitwise,INT13-C
cert-err33-c,common.c,1859,5,"the value returned by this function should be used",clang_tidy_oss,1859,5,clang_tidy_oss,cert-err33-c,ERR33-C
cert-err33-c,common.c,1860,5,"the value returned by this function should be used",clang_tidy_oss,1860,5,clang_tidy_oss,cert-err33-c,ERR33-C
hicpp-signed-bitwise,common.c,1861,14,"use of a signed integer operand with a binary bitwise operator",clang_tidy_oss,1861,26,clang_tidy_oss,hicpp-signed-bitwise,INT13-C
cert-err33-c,common.c,1862,5,"the value returned by this function should be used",clang_tidy_oss,1862,5,clang_tidy_oss,cert-err33-c,ERR33-C
cert-err33-c,common.c,1863,5,"the value returned by this function should be used",clang_tidy_oss,1863,5,clang_tidy_oss,cert-err33-c,ERR33-C
cert-err33-c,common.c,1871,7,"the value returned by this function should be used",clang_tidy_oss,1871,7,clang_tidy_oss,cert-err33-c,ERR33-C
"google-readability-braces-around-statements,hicpp-braces-around-statements,readability-braces-around-statements",common.c,1874,23,"statement should be inside braces",clang_tidy_oss,1874,23,clang_tidy_oss,"google-readability-braces-around-statements,hicpp-braces-around-statements,readability-braces-around-statements",EXP19-C
cert-err33-c,common.c,1875,13,"the value returned by this function should be used",clang_tidy_oss,1875,13,clang_tidy_oss,cert-err33-c,ERR33-C
"google-readability-braces-around-statements,hicpp-braces-around-statements,readability-braces-around-statements",common.c,1876,15,"statement should be inside braces",clang_tidy_oss,1876,15,clang_tidy_oss,"google-readability-braces-around-statements,hicpp-braces-around-statements,readability-braces-around-statements",EXP19-C
cert-err33-c,common.c,1877,13,"the value returned by this function should be used",clang_tidy_oss,1877,13,clang_tidy_oss,cert-err33-c,ERR33-C
"google-readability-braces-around-statements,hicpp-braces-around-statements,readability-braces-around-statements",common.c,1880,25,"statement should be inside braces",clang_tidy_oss,1880,25,clang_tidy_oss,"google-readability-braces-around-statements,hicpp-braces-around-statements,readability-braces-around-statements",EXP19-C
cert-err33-c,common.c,1881,15,"the value returned by this function should be used",clang_tidy_oss,1881,15,clang_tidy_oss,cert-err33-c,ERR33-C
"google-readability-braces-around-statements,hicpp-braces-around-statements,readability-braces-around-statements",common.c,1882,17,"statement should be inside braces",clang_tidy_oss,1882,17,clang_tidy_oss,"google-readability-braces-around-statements,hicpp-braces-around-statements,readability-braces-around-statements",EXP19-C
cert-err33-c,common.c,1883,15,"the value returned by this function should be used",clang_tidy_oss,1883,15,clang_tidy_oss,cert-err33-c,ERR33-C
"google-readability-braces-around-statements,hicpp-braces-around-statements,readability-braces-around-statements",common.c,1885,25,"statement should be inside braces",clang_tidy_oss,1885,25,clang_tidy_oss,"google-readability-braces-around-statements,hicpp-braces-around-statements,readability-braces-around-statements",EXP19-C
cert-err33-c,common.c,1886,15,"the value returned by this function should be used",clang_tidy_oss,1886,15,clang_tidy_oss,cert-err33-c,ERR33-C
"google-readability-braces-around-statements,hicpp-braces-around-statements,readability-braces-around-statements",common.c,1887,17,"statement should be inside braces",clang_tidy_oss,1887,17,clang_tidy_oss,"google-readability-braces-around-statements,hicpp-braces-around-statements,readability-braces-around-statements",EXP19-C
cert-err33-c,common.c,1888,15,"the value returned by this function should be used",clang_tidy_oss,1888,15,clang_tidy_oss,cert-err33-c,ERR33-C
"google-readability-braces-around-statements,hicpp-braces-around-statements,readability-braces-around-statements",common.c,1893,23,"statement should be inside braces",clang_tidy_oss,1893,23,clang_tidy_oss,"google-readability-braces-around-statements,hicpp-braces-around-statements,readability-braces-around-statements",EXP19-C
cert-err33-c,common.c,1900,13,"the value returned by this function should be used",clang_tidy_oss,1900,13,clang_tidy_oss,cert-err33-c,ERR33-C
"google-readability-braces-around-statements,hicpp-braces-around-statements,readability-braces-around-statements",common.c,1901,15,"statement should be inside braces",clang_tidy_oss,1901,15,clang_tidy_oss,"google-readability-braces-around-statements,hicpp-braces-around-statements,readability-braces-around-statements",EXP19-C
cert-err33-c,common.c,1907,13,"the value returned by this function should be used",clang_tidy_oss,1907,13,clang_tidy_oss,cert-err33-c,ERR33-C
"google-readability-braces-around-statements,hicpp-braces-around-statements,readability-braces-around-statements",common.c,1910,25,"statement should be inside braces",clang_tidy_oss,1910,25,clang_tidy_oss,"google-readability-braces-around-statements,hicpp-braces-around-statements,readability-braces-around-statements",EXP19-C
cert-err33-c,common.c,1911,15,"the value returned by this function should be used",clang_tidy_oss,1911,15,clang_tidy_oss,cert-err33-c,ERR33-C
