Checker,Path,Line,Column,Message,Tool,End_Line,End_Column,tool,checker,rule
cert-err33-c,common.c,657,3,"the value returned by this function should be used",clang_tidy_oss,657,3,clang_tidy_oss,cert-err33-c,ERR33-C
cert-err33-c,common.c,658,3,"the value returned by this function should be used",clang_tidy_oss,658,3,clang_tidy_oss,cert-err33-c,ERR33-C
cert-err33-c,common.c,659,3,"the value returned by this function should be used",clang_tidy_oss,659,3,clang_tidy_oss,cert-err33-c,ERR33-C
cert-err33-c,common.c,660,3,"the value returned by this function should be used",clang_tidy_oss,660,3,clang_tidy_oss,cert-err33-c,ERR33-C
"google-readability-braces-around-statements,hicpp-braces-around-statements,readability-braces-around-statements",common.c,661,29,"statement should be inside braces",clang_tidy_oss,661,29,clang_tidy_oss,"google-readability-braces-around-statements,hicpp-braces-around-statements,readability-braces-around-statements",EXP19-C
cert-err33-c,common.c,662,5,"the value returned by this function should be used",clang_tidy_oss,662,5,clang_tidy_oss,cert-err33-c,ERR33-C
"google-readability-braces-around-statements,hicpp-braces-around-statements,readability-braces-around-statements",common.c,663,7,"statement should be inside braces",clang_tidy_oss,663,7,clang_tidy_oss,"google-readability-braces-around-statements,hicpp-braces-around-statements,readability-braces-around-statements",EXP19-C
cert-err33-c,common.c,664,5,"the value returned by this function should be used",clang_tidy_oss,664,5,clang_tidy_oss,cert-err33-c,ERR33-C
cert-err33-c,common.c,665,3,"the value returned by this function should be used",clang_tidy_oss,665,3,clang_tidy_oss,cert-err33-c,ERR33-C
cert-err33-c,common.c,671,3,"the value returned by this function should be used",clang_tidy_oss,671,3,clang_tidy_oss,cert-err33-c,ERR33-C
cert-err33-c,common.c,677,3,"the value returned by this function should be used",clang_tidy_oss,677,3,clang_tidy_oss,cert-err33-c,ERR33-C
cert-err33-c,common.c,678,3,"the value returned by this function should be used",clang_tidy_oss,678,3,clang_tidy_oss,cert-err33-c,ERR33-C
cert-err33-c,common.c,680,3,"the value returned by this function should be used",clang_tidy_oss,680,3,clang_tidy_oss,cert-err33-c,ERR33-C
cert-err33-c,common.c,681,3,"the value returned by this function should be used",clang_tidy_oss,681,3,clang_tidy_oss,cert-err33-c,ERR33-C
cert-err33-c,common.c,682,3,"the value returned by this function should be used",clang_tidy_oss,682,3,clang_tidy_oss,cert-err33-c,ERR33-C
cert-err33-c,common.c,683,3,"the value returned by this function should be used",clang_tidy_oss,683,3,clang_tidy_oss,cert-err33-c,ERR33-C
cert-err33-c,common.c,684,3,"the value returned by this function should be used",clang_tidy_oss,684,3,clang_tidy_oss,cert-err33-c,ERR33-C
cert-err33-c,common.c,688,3,"the value returned by this function should be used",clang_tidy_oss,688,3,clang_tidy_oss,cert-err33-c,ERR33-C
cert-err33-c,common.c,690,3,"the value returned by this function should be used",clang_tidy_oss,690,3,clang_tidy_oss,cert-err33-c,ERR33-C
cert-err33-c,common.c,692,3,"the value returned by this function should be used",clang_tidy_oss,692,3,clang_tidy_oss,cert-err33-c,ERR33-C
"google-readability-braces-around-statements,hicpp-braces-around-statements,readability-braces-around-statements",common.c,693,29,"statement should be inside braces",clang_tidy_oss,693,29,clang_tidy_oss,"google-readability-braces-around-statements,hicpp-braces-around-statements,readability-braces-around-statements",EXP19-C
cert-err33-c,common.c,694,5,"the value returned by this function should be used",clang_tidy_oss,694,5,clang_tidy_oss,cert-err33-c,ERR33-C
"google-readability-braces-around-statements,hicpp-braces-around-statements,readability-braces-around-statements",common.c,695,7,"statement should be inside braces",clang_tidy_oss,695,7,clang_tidy_oss,"google-readability-braces-around-statements,hicpp-braces-around-statements,readability-braces-around-statements",EXP19-C
