Checker	Path	Line	Column	Message	Tool	End_Line	End_Column
bugprone-easily-swappable-parameters	common.c	717	19	2 adjacent parameters of 'PrintVersion' of similar type ('const char *') are easily swapped by mistake	clang_tidy	717	61
cert-err33-c	common.c	719	3	the value returned by this function should be used	clang_tidy	719	3
cert-err33-c	common.c	758	3	the value returned by this function should be used	clang_tidy	758	3
cert-err33-c	common.c	770	3	the value returned by this function should be used	clang_tidy	770	3
cert-err33-c	common.c	775	3	the value returned by this function should be used	clang_tidy	775	3
cert-err33-c	common.c	780	3	the value returned by this function should be used	clang_tidy	780	3
cert-err33-c	common.c	782	3	the value returned by this function should be used	clang_tidy	782	3
android-cloexec-fopen	common.c	797	23	use 'fopen' mode 'e' to set O_CLOEXEC	clang_tidy	797	29
android-cloexec-fopen	common.c	814	23	use 'fopen' mode 'e' to set O_CLOEXEC	clang_tidy	814	29
readability-identifier-length	common.c	822	24	parameter name 'fd' is too short, expected at least 3 characters	clang_tidy	822	24
readability-identifier-length	common.c	965	9	variable name 'fp' is too short, expected at least 3 characters	clang_tidy	965	9
readability-identifier-length	common.c	969	7	variable name 'fd' is too short, expected at least 3 characters	clang_tidy	969	7
google-readability-braces-around-statements,hicpp-braces-around-statements,readability-braces-around-statements	common.c	974	12	statement should be inside braces	clang_tidy	974	12
concurrency-mt-unsafe	common.c	977	9	function is not thread safe	clang_tidy	977	9
bugprone-assignment-in-if-condition	common.c	980	9	an assignment within an 'if' condition is bug-prone	clang_tidy	980	9
google-readability-braces-around-statements,hicpp-braces-around-statements,readability-braces-around-statements	common.c	980	48	statement should be inside braces	clang_tidy	980	48
cert-err33-c	common.c	982	3	the value returned by this function should be used	clang_tidy	982	50
clang-analyzer-security.insecureAPI.DeprecatedOrUnsafeBufferHandling	common.c	982	3	Call to function 'sprintf' is insecure as it does not provide bounding of the memory buffer or security checks introduced in the C11 standard. Replace with analogous functions that support length arguments or provides boundary checks such as 'sprintf_s' in case of C11	clang_tidy	982	9
bugprone-assignment-in-if-condition	common.c	995	8	an assignment within an 'if' condition is bug-prone	clang_tidy	995	8
google-readability-braces-around-statements,hicpp-braces-around-statements,readability-braces-around-statements	common.c	995	39	statement should be inside braces	clang_tidy	995	39
bugprone-assignment-in-if-condition	common.c	998	8	an assignment within an 'if' condition is bug-prone	clang_tidy	998	8
google-readability-braces-around-statements,hicpp-braces-around-statements,readability-braces-around-statements	common.c	998	37	statement should be inside braces	clang_tidy	998	37
cppcoreguidelines-init-variables	common.c	1033	15	variable 'errstr' is not initialized	clang_tidy	1033	15
concurrency-mt-unsafe	common.c	1039	16	function is not thread safe	clang_tidy	1039	16
cert-err33-c	common.c	1040	7	the value returned by this function should be used	clang_tidy	1040	7
cert-err33-c	common.c	1041	7	the value returned by this function should be used	clang_tidy	1041	7
concurrency-mt-unsafe	common.c	1051	18	function is not thread safe	clang_tidy	1051	18
cert-err33-c	common.c	1052	9	the value returned by this function should be used	clang_tidy	1052	9
cert-err33-c	common.c	1053	9	the value returned by this function should be used	clang_tidy	1053	9
google-readability-braces-around-statements,hicpp-braces-around-statements,readability-braces-around-statements	common.c	1095	7	statement should be inside braces	clang_tidy	1095	7
readability-function-cognitive-complexity	common.c	1106	7	function 'read_bom' has cognitive complexity of 64 (threshold 25)	clang_tidy	1106	7
readability-identifier-length	common.c	1106	23	parameter name 'f' is too short, expected at least 3 characters	clang_tidy	1106	23
bugprone-assignment-in-if-condition	common.c	1120	12	an assignment within an 'if' condition is bug-prone	clang_tidy	1120	12
cppcoreguidelines-avoid-magic-numbers,readability-magic-numbers	common.c	1127	22	0xff is a magic number; consider replacing it with a named constant	clang_tidy	1127	22
