Checker,Path,Line,Column,Message,tool,checker,rule
noExplicitConstructor,auxil/broker/caf/libcaf_core/caf/intrusive_ptr.hpp,76,3,"Class 'intrusive_ptr < coordinated >' has a constructor with 1 argument that is not explicit.",cppcheck,noExplicitConstructor,DCL53-CPP
noExplicitConstructor,auxil/broker/caf/libcaf_core/caf/intrusive_ptr.hpp,89,3,"Class 'intrusive_ptr < coordinated >' has a constructor with 1 argument that is not explicit.",cppcheck,noExplicitConstructor,DCL53-CPP
noExplicitConstructor,auxil/broker/caf/libcaf_core/caf/intrusive_ptr.hpp,72,13,"Class 'intrusive_ptr < scoped_coordinator >' has a constructor with 1 argument that is not explicit.",cppcheck,noExplicitConstructor,DCL53-CPP
noExplicitConstructor,auxil/broker/caf/libcaf_core/caf/intrusive_ptr.hpp,76,3,"Class 'intrusive_ptr < scoped_coordinator >' has a constructor with 1 argument that is not explicit.",cppcheck,noExplicitConstructor,DCL53-CPP
noExplicitConstructor,auxil/broker/caf/libcaf_core/caf/intrusive_ptr.hpp,89,3,"Class 'intrusive_ptr < scoped_coordinator >' has a constructor with 1 argument that is not explicit.",cppcheck,noExplicitConstructor,DCL53-CPP
shadowFunction,auxil/broker/caf/libcaf_core/caf/flow/subscription.hpp,85,27,"Local variable 'ptr' shadows outer function",cppcheck,shadowFunction,DCL01-C
shadowFunction,auxil/broker/caf/libcaf_core/caf/flow/subscription.hpp,92,27,"Local variable 'ptr' shadows outer function",cppcheck,shadowFunction,DCL01-C
noExplicitConstructor,auxil/binpac/src/pac_func.h,44,2,"Class 'FuncDecl' has a constructor with 1 argument that is not explicit.",cppcheck,noExplicitConstructor,DCL53-CPP
noExplicitConstructor,auxil/binpac/src/pac_func.h,60,2,"Class 'AnalyzerFunction' has a constructor with 1 argument that is not explicit.",cppcheck,noExplicitConstructor,DCL53-CPP
missingOverride,auxil/binpac/src/pac_func.h,49,7,"The function 'Prepare' overrides a function in a base class but is not marked with a 'override' specifier.",cppcheck,missingOverride,NONE
missingOverride,auxil/binpac/src/pac_func.h,50,7,"The function 'GenForwardDeclaration' overrides a function in a base class but is not marked with a 'override' specifier.",cppcheck,missingOverride,NONE
missingOverride,auxil/binpac/src/pac_func.h,51,7,"The function 'GenCode' overrides a function in a base class but is not marked with a 'override' specifier.",cppcheck,missingOverride,NONE
