Rule,Alerts
ARR30-C,47
DCL00-C,101
DCL01-C,89
DCL19-C,434
DCL30-C,7
DCL53-CPP,577
ERR61-CPP,1
EXP33-C,29
EXP34-C,53
EXP46-C,4
EXP63-CPP,4
FIO47-C,31
INT31-C,3
INT32-C,1
INT34-C,3
INT36-C,5
MEM31-C,29
MEM35-C,2
MEM50-CPP,1
MSC01-C,8
MSC07-C,85
MSC12-C,131
MSC13-C,1179
NONE,1723
OOP50-CPP,5
OOP53-CPP,20
OOP54-CPP,31
PRE31-C,17
Grand Total,4620
