Rule,Alerts
ARR30-C,1
DCL00-C,12
DCL01-C,42
DCL11-C,1
DCL19-C,63
EXP33-C,1
EXP34-C,20
FIO42-C,1
FIO47-C,1
MEM30-C,1
MSC07-C,11
MSC12-C,25
MSC13-C,228
MSC15-C,13
NONE,61
Grand Total,481
