Checker,Path,Line,Column,Message,tool,checker,rule
FIO30-C,dos2unix.c,79,3,"Exclude user input from format strings",rosecheckers,FIO30-C,FIO30-C
FIO30-C,dos2unix.c,212,15,"Exclude user input from format strings",rosecheckers,FIO30-C,FIO30-C
FIO30-C,dos2unix.c,249,15,"Exclude user input from format strings",rosecheckers,FIO30-C,FIO30-C
FIO30-C,dos2unix.c,313,7,"Exclude user input from format strings",rosecheckers,FIO30-C,FIO30-C
FIO30-C,dos2unix.c,371,8,"Exclude user input from format strings",rosecheckers,FIO30-C,FIO30-C
FIO30-C,dos2unix.c,395,15,"Exclude user input from format strings",rosecheckers,FIO30-C,FIO30-C
ARR30-C,dos2unix.c,402,32,"Do not form or use out-of-bounds pointers or array subscripts",rosecheckers,ARR30-C,ARR30-C
FIO30-C,dos2unix.c,432,15,"Exclude user input from format strings",rosecheckers,FIO30-C,FIO30-C
ARR30-C,dos2unix.c,439,33,"Do not form or use out-of-bounds pointers or array subscripts",rosecheckers,ARR30-C,ARR30-C
FIO30-C,dos2unix.c,494,7,"Exclude user input from format strings",rosecheckers,FIO30-C,FIO30-C
INT07-C,dos2unix.c,518,15,"Use only explicitly signed or unsigned char type for numeric values",rosecheckers,INT07-C,INT07-C
STR31-C,dos2unix.c,519,3,"String copy destination must contain sufficient storage",rosecheckers,STR31-C,STR31-C
ENV30-C,dos2unix.c,522,10,"Do not modify the string returned by getenv()",rosecheckers,ENV30-C,ENV30-C
EXP12-C,dos2unix.c,531,10,"Do not ignore values returned by functions: d2u_strncpy",rosecheckers,EXP12-C,EXP12-C
EXP12-C,dos2unix.c,545,4,"Do not ignore values returned by functions: setlocale",rosecheckers,EXP12-C,EXP12-C
EXP12-C,dos2unix.c,550,4,"Do not ignore values returned by functions: bindtextdomain",rosecheckers,EXP12-C,EXP12-C
EXP12-C,dos2unix.c,551,4,"Do not ignore values returned by functions: textdomain",rosecheckers,EXP12-C,EXP12-C
EXP30-C,dos2unix.c,565,8,"Do not depend on order of evaluation for side effects",rosecheckers,EXP30-C,EXP30-C
STR31-C,dos2unix.c,572,5,"String copy destination must contain sufficient storage",rosecheckers,STR31-C,STR31-C
INT07-C,common.c,65,23,"Use only explicitly signed or unsigned char type for numeric values",rosecheckers,INT07-C,INT07-C
INT01-C,common.c,65,19,"Use rsize_t or size_t for all integer values representing the size of an object",rosecheckers,INT01-C,INT01-C
INT01-C,common.c,67,32,"Use rsize_t or size_t for all integer values representing the size of an object",rosecheckers,INT01-C,INT01-C
FIO30-C,common.c,81,9,"Exclude user input from format strings",rosecheckers,FIO30-C,FIO30-C
FIO30-C,common.c,83,9,"Exclude user input from format strings",rosecheckers,FIO30-C,FIO30-C
FIO30-C,common.c,648,3,"Exclude user input from format strings",rosecheckers,FIO30-C,FIO30-C
FIO30-C,common.c,650,3,"Exclude user input from format strings",rosecheckers,FIO30-C,FIO30-C
FIO30-C,common.c,652,3,"Exclude user input from format strings",rosecheckers,FIO30-C,FIO30-C
FIO30-C,common.c,653,3,"Exclude user input from format strings",rosecheckers,FIO30-C,FIO30-C
FIO30-C,common.c,654,3,"Exclude user input from format strings",rosecheckers,FIO30-C,FIO30-C
FIO30-C,common.c,655,3,"Exclude user input from format strings",rosecheckers,FIO30-C,FIO30-C
FIO30-C,common.c,656,3,"Exclude user input from format strings",rosecheckers,FIO30-C,FIO30-C
FIO30-C,common.c,657,3,"Exclude user input from format strings",rosecheckers,FIO30-C,FIO30-C
FIO30-C,common.c,658,3,"Exclude user input from format strings",rosecheckers,FIO30-C,FIO30-C
FIO30-C,common.c,659,3,"Exclude user input from format strings",rosecheckers,FIO30-C,FIO30-C
FIO30-C,common.c,660,3,"Exclude user input from format strings",rosecheckers,FIO30-C,FIO30-C
FIO30-C,common.c,662,5,"Exclude user input from format strings",rosecheckers,FIO30-C,FIO30-C
FIO30-C,common.c,664,5,"Exclude user input from format strings",rosecheckers,FIO30-C,FIO30-C
FIO30-C,common.c,665,3,"Exclude user input from format strings",rosecheckers,FIO30-C,FIO30-C
FIO30-C,common.c,671,3,"Exclude user input from format strings",rosecheckers,FIO30-C,FIO30-C
FIO30-C,common.c,677,3,"Exclude user input from format strings",rosecheckers,FIO30-C,FIO30-C
FIO30-C,common.c,678,3,"Exclude user input from format strings",rosecheckers,FIO30-C,FIO30-C
FIO30-C,common.c,680,3,"Exclude user input from format strings",rosecheckers,FIO30-C,FIO30-C
