Rule,Alerts,Count of Line
FIO30-C,112,112
EXP12-C,14,14
INT01-C,7,7
INT07-C,7,7
FIO13-C,6,6
FIO34-C,4,4
INT13-C,4,4
DCL05-C,3,3
MEM34-C,3,3
ARR30-C,2,2
EXP30-C,2,2
INT14-C,2,2
STR31-C,2,2
ENV30-C,1,1
MEM01-C,1,1
Grand Total,170,170
