tool,checker,rule
clang_tidy_oss,cppcoreguidelines-interfaces-global-init,DCL56-CPP
clang_tidy_oss,cppcoreguidelines-macro-usage,NONE
clang_tidy_oss,cppcoreguidelines-owning-memory,NONE
clang_tidy_oss,cppcoreguidelines-prefer-member-initializer,OOP53-CPP
clang_tidy_oss,cppcoreguidelines-pro-bounds-constant-array-index,ARR30-C
clang_tidy_oss,cppcoreguidelines-pro-bounds-pointer-arithmetic,ARR30-C
clang_tidy_oss,cppcoreguidelines-pro-type-const-cast,EXP05-C
clang_tidy_oss,cppcoreguidelines-pro-type-cstyle-cast,NONE
clang_tidy_oss,cppcoreguidelines-pro-type-reinterpret-cast,NONE
clang_tidy_oss,cppcoreguidelines-pro-type-static-cast-downcast,NONE
clang_tidy_oss,cppcoreguidelines-pro-type-union-access,NONE
clang_tidy_oss,fuchsia-default-arguments-calls,NONE
clang_tidy_oss,fuchsia-default-arguments-declarations,NONE
clang_tidy_oss,fuchsia-multiple-inheritance,NONE
clang_tidy_oss,fuchsia-overloaded-operator,NONE
clang_tidy_oss,fuchsia-statically-constructed-objects,NONE
clang_tidy_oss,fuchsia-trailing-return,NONE
clang_tidy_oss,google-build-using-namespace,NONE
clang_tidy_oss,google-default-arguments,NONE
clang_tidy_oss,google-readability-braces-around-statements,EXP19-C
clang_tidy_oss,google-readability-casting,NONE
clang_tidy_oss,google-readability-function-size,NONE
clang_tidy_oss,google-readability-todo,NONE
clang_tidy_oss,google-runtime-int,NONE
clang_tidy_oss,google-runtime-operator,NONE
clang_tidy_oss,hicpp-multiway-paths-covered,MSC01-C
clang_tidy_oss,hicpp-named-parameter,NONE
clang_tidy_oss,hicpp-signed-bitwise,INT13-C
clang_tidy_oss,llvm-else-after-return,NONE
clang_tidy_oss,llvm-include-order,NONE
clang_tidy_oss,llvm-namespace-comment,NONE
clang_tidy_oss,llvmlibc-callee-namespace,NONE
clang_tidy_oss,llvmlibc-implementation-in-namespace,NONE
clang_tidy_oss,llvmlibc-restrict-system-libc-headers,NONE
clang_tidy_oss,misc-confusable-identifiers,DCL02-C
clang_tidy_oss,misc-const-correctness,DCL00-C
clang_tidy_oss,misc-no-recursion,NONE
clang_tidy_oss,misc-non-copyable-objects,FIO38-C
clang_tidy_oss,misc-non-private-member-variables-in-classes,NONE
clang_tidy_oss,misc-static-assert,DCL03-C
clang_tidy_oss,misc-redundant-expression,NONE
clang_tidy_oss,misc-unused-alias-decls,NONE
clang_tidy_oss,misc-unused-parameters,MSC13-C
clang_tidy_oss,misc-unused-using-decls,NONE
clang_tidy_oss,modernize-macro-to-enum,DCL06-C
clang_tidy_oss,modernize-make-unique,NONE
clang_tidy_oss,modernize-pass-by-value,NONE
clang_tidy_oss,modernize-raw-string-literal,NONE
clang_tidy_oss,modernize-redundant-void-arg,NONE
clang_tidy_oss,modernize-return-braced-init-list,NONE
clang_tidy_oss,modernize-use-default-member-init,OOP53-CPP
clang_tidy_oss,modernize-use-nullptr,NONE
clang_tidy_oss,modernize-use-trailing-return-type,NONE
clang_tidy_oss,modernize-use-using,NONE
clang_tidy_oss,performance-for-range-copy,NONE
clang_tidy_oss,performance-no-int-to-ptr,INT36-C
clang_tidy_oss,performance-unnecessary-copy-initialization,NONE
clang_tidy_oss,performance-unnecessary-value-param,NONE
clang_tidy_oss,readability-avoid-const-params-in-decls,NONE
clang_tidy_oss,readability-braces-around-statements,EXP19-C
clang_tidy_oss,readability-container-size-empty,NONE
clang_tidy_oss,readability-convert-member-functions-to-static,NONE
clang_tidy_oss,readability-duplicate-include,NONE
clang_tidy_oss,readability-else-after-return,NONE
clang_tidy_oss,readability-function-cognitive-complexity,NONE
clang_tidy_oss,readability-function-size,NONE
clang_tidy_oss,readability-identifier-length,NONE
clang_tidy_oss,readability-implicit-bool-conversion,NONE
clang_tidy_oss,readability-inconsistent-declaration-parameter-name,NONE
clang_tidy_oss,readability-isolate-declaration,DCL04-C
clang_tidy_oss,readability-magic-numbers,DCL06-C
clang_tidy_oss,readability-make-member-function-const,DCL00-C
clang_tidy_oss,readability-misleading-indentation,NONE
clang_tidy_oss,readability-named-parameter,NONE
clang_tidy_oss,readability-non-const-parameter,DCL00-C
clang_tidy_oss,readability-qualified-auto,NONE
clang_tidy_oss,readability-redundant-control-flow,NONE
clang_tidy_oss,readability-redundant-declaration,NONE
clang_tidy_oss,readability-redundant-member-init,OOP53-CPP
clang_tidy_oss,readability-redundant-smartptr-get,NONE
clang_tidy_oss,readability-simplify-boolean-expr,NONE
clang_tidy_oss,readability-static-accessed-through-instance,NONE
clang_tidy_oss,readability-static-definition-in-anonymous-namespace,NONE
clang_tidy_oss,readability-suspicious-call-argument,NONE
clang_tidy_oss,readability-uppercase-literal-suffix,DCL16-C
clang_tidy_oss,readability-use-anyofallof,NONE
