Rule,Alerts
ARR01-C,202
CON33-C,441
DCL00-C,21
DCL03-C,1
DCL04-C,1827
DCL06-C,5220
DCL16-C,29
DCL56-CPP,46
ERR33-C,950
ERR34-C,32
EXP15-C,2
EXP19-C,20571
EXP33-C,9157
EXP34-C,77
EXP42-C,3
EXP45-C,253
FIO38-C,1
FIO42-C,64
INT13-C,7758
INT18-C,192
INT31-C,1689
INT36-C,54
MEM31-C,4
MSC01-C,66
MSC13-C,458
MSC24-C,734
MSC30-C,3
NONE,21796
PRE01-C,276
STR32-C,52
Grand Total,71979
